年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),-5.97,-7.63,-9.23,-28.06,-8.13,-6.44,-5.82,-4.63,-7.28,-5.3,-9.55,-27.9,-7.52,-4.34,-9.11,-26.15,-16.02,1.76,-10.27,-9.4,-20.23,-5.92,-2.07,64.54,14.18,40.26,-32.49,10.71,-94.09,89.22,-22.03,99.56,-13.29,-19.59,35.5,21.1,-10.04,-38.42,-16.49,1.24,29.01,59.44,-46.55,30.21,
2374 佳能 (上市光電業),21.45,28.66,41.16,25.16,-48.46,6.13,56.19,47.12,58.22,181.1,213.94,76.94,-4.22,67.42,176.6,112.76,23.74,80.09,89.09,-13.67,-81.77,-53.68,-72.59,-96.73,-52.48,-1.69,-32.29,-72.65,-63.33,-34.05,-22.87,-22.86,-28.4,257.5,48.81,15.04,-10.32,51.9,152.97,-27.28,-28.89,36.79,99.33,12.71,
2409 友達 (上市光電業),-1.5,4.35,3.32,2.43,1.3,4.03,9.63,11.18,7.73,9.47,9.26,-13.41,-8.82,0.57,8.76,13.42,17.5,17.35,16.42,8.02,7.16,4.56,8.75,0.5,-5.31,-1.54,-4.89,-9.24,-6.12,-3.31,5.4,13.31,20.41,36.24,42.23,32.14,20.12,-13.38,-35.92,-21.15,-20.68,-4.82,-0.08,-6.68,
3059 華晶科 (上市光電業),-16.9,7.33,25.28,-133.1,29.96,42.89,7.32,5.37,1.65,11.81,38.08,7.34,-8.21,4.83,7.98,27.24,5.57,0.22,3.91,14.77,3.13,17.43,20.11,10.25,3.09,2.76,6.02,-3.44,2.86,18.36,13.04,8.1,11.86,15.85,28.79,9.13,20.27,14.12,18.99,15.49,7.42,9.93,13.22,11.3,10.56
3149 正達 (上市光電業),5.38,-8.72,-9,-14.22,-4.82,-5.14,-2.87,-9.84,-4.26,-40.61,-6.45,-14.87,1.15,0.93,-3.7,-19.14,1.88,4.59,-1.19,-0.39,-3.17,,-0.33,-6.68,1.42,0.82,-1.52,-2.93,-6.1,-22.92,2.47,-4.83,0.33,1.31,-0.87,-8.81,-3.34,-7.86,-4.16,-8.33,-0.76,-0.12,-0.99,-3.49,
3481 群創 (上市光電業),2.19,4.42,1.78,-0.02,1.14,4.43,11.05,17.59,17.45,19.37,11.93,-19.2,-26.89,-8.93,23.82,103.81,135.59,97.11,42.77,34.99,27.45,10.32,23.87,-3.7,-12.41,-9.52,-12.12,-27.42,-17.89,-15.8,7.54,39.44,48.13,94.2,87.73,29.41,11.36,-19.29,-52.35,-47.61,-23.3,-9.34,-1.62,-6.19,
3504 揚明光 (上市光電業),53.49,93.44,70.13,18.82,22.32,16.34,35.57,37.98,14.35,20.75,68.13,28.71,-29.34,-30.21,-8.57,-10.19,-20.81,-19.05,-11.05,4.43,5.45,24.68,51.32,6.35,1.99,5.11,5.07,-7.04,-12.99,-5.48,-6.85,-10,-4.75,5.91,12.6,3.04,7.2,12.74,15.82,-13.92,-13.93,-12.05,-12.03,-13.13,-63.96
4934 太極 (上市光電業),-3.04,8.16,3.64,5.54,6.9,4.69,-0.07,1.13,2.29,-1.17,24.55,22.11,15.09,16.73,-63.39,-26.22,-48.7,-32.25,0.81,-56.14,-24.63,-34.69,-32.36,-34.07,-2.76,-1.81,-0.03,-34.71,-0.07,8.58,-3.14,-5.11,-13.2,-28.18,-15.99,-54.49,-10.87,-5.9,0.1,28.11,6.47,14.6,36.92,-145.87,
6164 華興 (上市光電業),38.71,61.99,47.62,25.99,399.02,84.1,41.99,31.54,15.42,28.29,10.01,8.83,14.86,68.25,11.04,16.4,13.79,22.06,7.96,-0.01,-4.77,3.1,1.6,14.95,-1.78,-1.99,-16.47,-15.27,-14.83,-2.66,-12.27,-9.96,-3.72,15.96,22.98,-10.23,-3.67,35.53,10.86,13.54,-10.51,-4.35,1.99,-12.34,
6176 瑞儀 (上市光電業),42.93,21.9,29.93,59.13,20.72,15.97,17.16,26.54,8.37,2.57,23.74,27.3,10.89,14.08,54.38,94.53,53.21,45.76,26.85,24.25,5.12,24.96,24.47,25.47,19.87,22.29,44.28,29.35,15.79,30.54,42.4,40.31,75.94,50.55,83.1,74.13,79.59,84.28,84.97,26.95,11.85,21.9,21.39,7.31,36.64
