年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),1.33,1.19,1.02,1.3,1.32,1.4,1.48,1.55,1.37,1.25,1.14,1.04,1.09,1.21,1.17,1.19,1.16,1.16,1.24,1.46,1.39,1.47,1.39,1.21,0.91,0.79,0.84,0.59,0.71,0.51,0.6,0.59,0.62,0.53,0.56,0.54,0.51,0.44,0.4,0.45,0.43,0.47,0.56,0.54,
2374 佳能 (上市光電業),2.4,2.45,2.53,2.88,2.27,2.99,2.44,2.47,1.98,2.28,2.24,2.3,1.52,1.68,1.45,1.88,1.77,2.06,1.8,1.62,1.12,1.25,1.18,1.28,1.45,1.8,1.52,1.55,1.1,1.14,1.49,1.53,0.86,0.85,0.93,0.97,0.75,1.08,1.17,1.14,0.88,1.02,1.47,1.27,
2409 友達 (上市光電業),1.9,2.27,2.32,2.4,2.32,2.51,2.59,2.51,2.17,2.13,2.12,2.26,2.25,2.53,2.73,2.73,2.67,2.63,2.85,2.79,2.67,2.66,2.71,2.73,2.48,2.52,2.7,2.6,2.11,2.27,2.45,2.5,2.32,2.25,2.17,2.18,1.93,1.63,1.7,1.91,1.91,2.15,2.23,2.08,
3059 華晶科 (上市光電業),2.06,2.07,2.89,2.57,2.81,3.79,2.81,2.54,1.75,1.64,2.04,2.18,1.85,1.95,1.92,2.09,1.65,1.78,2.04,2.1,1.69,2.69,2.57,1.98,1.47,1.32,1.47,1.19,0.84,1.21,1.36,1.31,1.35,1.41,1.13,0.8,1,0.77,1.09,1.01,0.74,0.8,0.88,0.88,0.66
3149 正達 (上市光電業),1.71,1.76,1.87,2.72,3.15,2.94,3.58,3.99,3.12,2.56,3.46,4.67,4.73,3.35,3.01,3.21,2.57,4.04,5.1,5.05,3.21,4.63,4.8,3.33,3.1,3.11,3.46,3.75,2.58,4.74,4.98,4.27,3.85,3.81,3.58,3.32,2.41,3.45,3.64,3.23,2.16,2.62,2.87,3.1,
3481 群創 (上市光電業),2.39,2.18,1.83,1.83,1.65,2.06,2.35,2.68,2.46,2.35,2.29,2.42,2.04,2.39,2.64,2.91,2.72,2.33,2.05,2.17,1.81,1.81,2.01,2.12,1.86,1.82,1.82,2.08,1.56,1.84,2.01,1.98,2.03,1.9,1.78,1.75,1.54,1.29,1.26,1.4,1.39,1.61,1.54,1.41,
3504 揚明光 (上市光電業),1.44,1.84,2.17,1.81,1.94,1.98,1.59,1.82,1.51,1.68,1.65,1.56,1.25,1.27,1.09,1.57,1.19,1.36,1.34,1.4,1.24,1.68,1.92,1.26,1.21,1.2,1.3,1.44,0.94,1.36,1.6,1.65,1.65,1.37,1.15,1.23,1.1,1.06,1.21,1.03,1,1.26,1.31,1.31,1.25
4934 太極 (上市光電業),3.59,3.96,2.74,2.76,1.99,2.45,2.19,3.07,2.15,2.04,2.81,3.61,2.78,3.13,3.2,5.7,4.23,4.13,4.32,4.69,2.48,3.59,2.66,3.21,4.17,6.44,5.9,7.28,4.19,3.61,4.19,3.41,2.2,2.98,1.67,1.45,0.96,1.38,1.4,1.64,1.45,2.08,2.23,1.58,
6164 華興 (上市光電業),0.64,0.86,0.96,0.88,0.73,0.85,0.95,0.9,0.79,0.91,1.01,0.98,1.03,1.3,1.29,1.09,1.07,1.05,1.05,0.94,0.95,1.14,0.86,0.99,0.83,0.99,1.07,1,0.96,1.05,1,1.08,1.15,1.02,0.99,0.88,0.81,0.84,0.77,0.72,0.69,0.95,0.9,1.06,
6176 瑞儀 (上市光電業),5.94,5.03,5.32,4.93,3.95,4.78,4.7,4.72,3.41,3.33,3.84,4.68,4.64,4.57,4.13,4.93,4.71,5.19,5.58,5.56,4.74,4.95,5.32,6.36,5.91,4.94,5.11,4.58,3.02,5.32,5.18,4.21,3.74,4.74,4.71,4.11,3.9,2.84,3.89,3.31,2.56,4.51,4.77,4.85,5.19
