年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),68.18,76.27,84.91,66.18,60.4,60.4,67.67,69.77,84.11,81.08,84.11,89.11,81.82,78.26,84.11,88.24,73.17,66.18,62.94,65.69,78.95,70.31,68.7,63.38,67.67,61.22,62.07,103.45,76.27,88.24,65.69,66.18,67.16,69.77,64.75,66.67,73.17,75.63,73.77,72.58,69.77,67.16,66.18,68.18,
2374 佳能 (上市光電業),41.67,42.86,44.78,44.12,49.72,41.1,52.33,45.23,54.55,48.13,50,50,61.64,44.78,54.22,45.45,56.6,51.72,59.6,60.4,63.83,49.18,58.06,53.25,59.6,66.18,89.11,62.07,70.31,60.4,50.56,54.55,72,56.25,49.18,57.69,62.5,50.28,63.38,65.69,69.23,55.9,44.78,49.45,
2409 友達 (上市光電業),37.04,33.58,38.46,39.65,42.45,41.1,41.67,47.12,54.22,50.85,46.88,42.45,41.86,38.46,42.06,44.78,48.65,49.18,47.87,49.72,48.65,50.56,52.02,56.6,60.4,52.63,51.14,52.02,50.28,45.92,50.28,51.14,54.22,54.55,58.44,61.64,62.5,59.6,45.69,33.46,33.96,29.41,33.46,37.97,
3059 華晶科 (上市光電業),58.82,57.69,56.25,76.27,60.81,63.83,90.91,74.38,78.95,67.67,67.16,78.95,74.38,59.21,65.22,66.67,78.26,69.23,69.77,73.17,88.24,81.82,130.43,166.67,145.16,92.78,72,67.67,65.69,47.87,54.55,56.25,61.22,55.9,58.06,61.64,46.63,68.7,59.21,67.16,76.92,68.18,68.7,69.23,81.08
3149 正達 (上市光電業),87.38,102.27,100,98.9,90,73.77,62.5,78.26,95.74,81.08,53.89,73.77,126.76,86.54,68.7,67.16,86.54,52.94,64.75,73.77,98.9,67.16,84.91,140.63,123.29,96.77,92.78,98.9,169.81,92.78,98.9,111.11,92.78,92.78,91.84,90.91,98.9,69.23,80.36,78.95,93.75,73.17,76.92,77.59,
3481 群創 (上市光電業),62.94,61.64,63.38,62.07,69.77,58.82,60.81,60.81,63.83,60,60.81,60.81,69.23,51.14,50.85,54.55,64.29,62.5,67.16,68.18,71.43,64.29,60,62.5,67.67,62.94,67.67,61.64,69.23,52.94,59.21,61.64,58.82,58.44,62.94,72.58,76.27,79.65,81.82,70.31,61.64,51.72,55.21,56.25,
3504 揚明光 (上市光電業),60.81,67.16,76.92,73.77,58.06,61.64,64.75,57.69,75,64.29,64.29,58.82,64.75,58.06,58.06,50.28,56.25,40.91,46.39,44.55,53.25,46.15,44.78,65.69,55.9,63.83,75.63,76.92,101.12,65.69,72.58,59.21,55.56,58.44,60,57.69,73.77,81.82,84.11,100,73.17,61.64,68.7,65.69,72.58
4934 太極 (上市光電業),50,35.16,41.47,30.61,27.52,30.51,55.56,31.03,24.52,23.94,26.87,31.58,43.27,39.65,78.95,58.44,61.64,58.82,56.6,52.63,115.38,61.64,102.27,84.91,88.24,60.4,52.94,45.69,25.5,6.97,3.16,7.8,10.1,0.97,5.77,12.08,11.8,2.64,1.79,0.52,0.78,1.75,4.94,17.31,
6164 華興 (上市光電業),113.92,95.74,103.45,118.42,126.76,102.27,109.76,120,132.35,120,125,130.43,125,104.65,108.43,107.14,103.45,97.83,101.12,104.65,93.75,88.24,128.57,113.92,116.88,96.77,111.11,120,120,112.5,128.57,111.11,107.14,111.11,108.43,113.92,118.42,112.5,126.76,125,130.43,108.43,128.57,107.14,
6176 瑞儀 (上市光電業),98.9,115.38,76.27,63.83,90.91,81.82,67.67,68.7,91.84,67.16,61.64,67.67,78.26,72,63.83,62.07,77.59,74.38,74.38,79.65,97.83,87.38,70.87,70.87,93.75,93.75,76.27,79.65,96.77,61.64,76.92,77.59,90,81.08,76.92,70.87,79.65,96.77,63.38,79.65,97.83,70.87,85.71,83.33,87.38
