年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),67.67,75.63,88.24,69.23,68.18,64.29,60.81,58.06,65.69,72,78.95,86.54,82.57,74.38,76.92,75.63,77.59,77.59,72.58,61.64,64.75,61.22,64.75,74.38,98.9,113.92,107.14,152.54,126.76,176.47,150,152.54,145.16,169.81,160.71,166.67,176.47,204.55,225,200,209.3,191.49,160.71,166.67,
2374 佳能 (上市光電業),37.5,36.73,35.57,31.25,39.65,30.1,36.89,36.44,45.45,39.47,40.18,39.13,59.21,53.57,62.07,47.87,50.85,43.69,50,55.56,80.36,72,76.27,70.31,62.07,50,59.21,58.06,81.82,78.95,60.4,58.82,104.65,105.88,96.77,92.78,120,83.33,76.92,78.95,102.27,88.24,61.22,70.87,
2409 友達 (上市光電業),47.37,39.65,38.79,37.5,38.79,35.86,34.75,35.86,41.47,42.25,42.45,39.82,40,35.57,32.97,32.97,33.71,34.22,31.58,32.26,33.71,33.83,33.21,32.97,36.29,35.71,33.33,34.62,42.65,39.65,36.73,36,38.79,40,41.47,41.28,46.63,55.21,52.94,47.12,47.12,41.86,40.36,43.27,
3059 華晶科 (上市光電業),43.69,43.48,31.14,35.02,32.03,23.75,32.03,35.43,51.43,54.88,44.12,41.28,48.65,46.15,46.88,43.06,54.55,50.56,44.12,42.86,53.25,33.46,35.02,45.45,61.22,68.18,61.22,75.63,107.14,74.38,66.18,68.7,66.67,63.83,79.65,112.5,90,116.88,82.57,89.11,121.62,112.5,102.27,102.27,136.36
3149 正達 (上市光電業),52.63,51.14,48.13,33.09,28.57,30.61,25.14,22.56,28.85,35.16,26.01,19.27,19.03,26.87,29.9,28.04,35.02,22.28,17.65,17.82,28.04,19.44,18.75,27.03,29.03,28.94,26.01,24,34.88,18.99,18.07,21.08,23.38,23.62,25.14,27.11,37.34,26.09,24.73,27.86,41.67,34.35,31.36,29.03,
3481 群創 (上市光電業),37.66,41.28,49.18,49.18,54.55,43.69,38.3,33.58,36.59,38.3,39.3,37.19,44.12,37.66,34.09,30.93,33.09,38.63,43.9,41.47,49.72,49.72,44.78,42.45,48.39,49.45,49.45,43.27,57.69,48.91,44.78,45.45,44.33,47.37,50.56,51.43,58.44,69.77,71.43,64.29,64.75,55.9,58.44,63.83,
3504 揚明光 (上市光電業),62.5,48.91,41.47,49.72,46.39,45.45,56.6,49.45,59.6,53.57,54.55,57.69,72,70.87,82.57,57.32,75.63,66.18,67.16,64.29,72.58,53.57,46.88,71.43,74.38,75,69.23,62.5,95.74,66.18,56.25,54.55,54.55,65.69,78.26,73.17,81.82,84.91,74.38,87.38,90,71.43,68.7,68.7,72
4934 太極 (上市光電業),25.07,22.73,32.85,32.61,45.23,36.73,41.1,29.32,41.86,44.12,32.03,24.93,32.37,28.75,28.13,15.79,21.28,21.79,20.83,19.19,36.29,25.07,33.83,28.04,21.58,13.98,15.25,12.36,21.48,24.93,21.48,26.39,40.91,30.2,53.89,62.07,93.75,65.22,64.29,54.88,62.07,43.27,40.36,56.96,
6164 華興 (上市光電業),140.63,104.65,93.75,102.27,123.29,105.88,94.74,100,113.92,98.9,89.11,91.84,87.38,69.23,69.77,82.57,84.11,85.71,85.71,95.74,94.74,78.95,104.65,90.91,108.43,90.91,84.11,90,93.75,85.71,90,83.33,78.26,88.24,90.91,102.27,111.11,107.14,116.88,125,130.43,94.74,100,84.91,
6176 瑞儀 (上市光電業),15.15,17.89,16.92,18.26,22.78,18.83,19.15,19.07,26.39,27.03,23.44,19.23,19.4,19.69,21.79,18.26,19.11,17.34,16.13,16.19,18.99,18.18,16.92,14.15,15.23,18.22,17.61,19.65,29.8,16.92,17.37,21.38,24.06,18.99,19.11,21.9,23.08,31.69,23.14,27.19,35.16,19.96,18.87,18.56,17.34
