年度/季度,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
2323 中環 (上市光電業),133.16,133.74,151.16,163.77,168.83,166.65,172.98,176.87,176.87,165.45,169.41,210.05,206.32,213.98,212.38,202.5,261.3,321.13,281.71,289.14,254.49,278.65,282.78,382.81,422.14,414.29,423.5,352.8,294.95,316.8,375.92,389.98,447.48,367.34,293.16,386.52,480.05,398.79,340.63,357.4,339.5,336.04,344.51,440.57,
2409 友達 (上市光電業),90.54,100.28,96.69,93.72,104.55,108.08,110.34,107.64,111.89,115.07,115.92,114.6,110.07,118.82,127.92,139.3,151.82,153.21,156.59,168.02,163.36,115.11,118.22,115.61,130.03,155.62,156,158.18,167.54,161.49,169.62,171.16,175.74,187.03,165.64,155.17,156.12,157.1,134.93,144.26,143.64,143.38,146.79,152.48,
3059 華晶科 (上市光電業),190.37,158.19,174.57,184.39,188.13,184.43,157.63,177.01,189.8,176.21,184.16,188.3,194.38,183.38,178.64,179.05,184.15,191.54,203.55,202.53,203.51,181.11,195.43,215.57,274.11,270.13,226.28,222.32,190.09,191.29,183.22,178.75,184.14,172.1,167.06,160.71,167.41,154.79,164.74,172.21,153.74,184.89,193.36,199.86,221.31
3149 正達 (上市光電業),181.1,151.23,155.32,134.56,135.17,109.36,117.69,111.94,107.3,84.46,75.4,60.58,89.78,89.02,71.95,72.19,67.55,71.08,76.35,86.92,82.52,85.66,87.95,85.17,74.79,79.72,102.27,99.65,95.73,91.51,120.8,113.66,139.18,133.83,129.34,116.32,110.34,132.36,127.78,134.52,103.98,102.15,100.26,103.86,
3481 群創 (上市光電業),81.34,81.57,85.14,57.12,85.54,79.68,88.32,95.1,115.71,127.37,131.01,125.7,118.42,112.89,96.52,109.32,100.8,112.64,146.39,120.19,123.24,115.32,122.95,141.12,135.59,130,129.86,120.12,129.08,119,134.43,145.79,144.05,153.22,157.46,150.85,166.7,168.3,177.66,178.27,205.52,149.96,141.13,152.64,
3504 揚明光 (上市光電業),190.45,163.49,170.12,175.97,179.85,157.53,175.7,186.23,198.92,200.3,215.95,215.28,205.23,180.23,179.87,175.07,173.08,171.71,212.24,204.51,190.85,168.77,159.78,173.47,173.96,153.37,137.61,140.37,139.35,144.29,167.09,186.33,180.63,154.65,154.17,205.55,195.47,180.89,186.16,196.34,195.27,180.09,172.63,173.57,191.1
3714 富采 (上市光電業),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,211.87,208.65,220.74,222.57,248.53,316.25,316.74,326.18,283.5,266.76,280.86,281.55
4934 太極 (上市光電業),55.92,62.76,61.53,74.63,82.89,124.6,123.11,128.12,134.07,154.52,151.85,151.37,155.49,205.82,226.72,170.84,151.39,125.21,154.09,148.51,128.92,112.78,110.22,110.84,120.57,120.48,129.67,94.82,99.49,115,117.15,91.99,93.06,120.21,140.76,118.68,116.59,114.23,155.64,269.68,305.08,288.25,357.66,281.35,
6164 華興 (上市光電業),233.24,235.55,263.02,264.03,270.43,218.84,220.47,244.72,245.77,217.53,250.37,273.48,239.51,261.05,272.56,249.64,235.58,208.31,220.11,217.38,183.38,173.2,170.64,176.18,188.02,182.97,173.3,171.61,170.29,172.22,189.5,188.75,188.89,182.62,177.44,175.32,171.98,175.03,181.27,238.51,224.53,188.32,240.87,243.47,
6176 瑞儀 (上市光電業),149.05,149.09,176.38,156.97,197.74,195.46,216.45,216.43,231.92,191.59,146.31,181.81,164.29,153.44,160.16,158.69,170.33,162.56,158.64,162.43,176.91,154.77,158.13,161.12,173.13,171.02,196.7,202.7,212.79,175.17,173.28,187,189.53,171.8,180.07,178.27,184.9,183.15,195.21,222.64,252.31,205.4,228.94,252,278.81
