年度/季度,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
2323 中環 (上市光電業),129.45,129.91,137.3,144.22,142.25,129,133.23,166.03,167.5,172.32,172.02,164.03,211.27,262.95,231.4,245.98,215.54,235.1,237.23,340.37,350.66,342.04,347.32,275.38,230.52,244.44,292.59,307.88,360.44,285.34,224.74,288.42,359.42,287.55,243.55,267.1,259.31,265.88,274.05,357.21
2374 佳能 (上市光電業),131.78,121.17,119.83,129.84,146.55,158.07,117.91,141.13,144.37,146.54,141.64,136.23,141.6,133.63,136.68,133.38,133.39,135.05,128.49,129.4,138.58,135.17,137.18,134.45,126.92,122.45,120.45,116.6,129.98,147.76,154.54,157.43,169.05,154.38,176.48,179.64,188.3,169.45,182.76,177.42
2409 友達 (上市光電業),80.41,85.38,87.74,86.52,88.29,92.49,91.5,92.11,86.12,96.14,105.17,115.69,128.33,131.61,135.85,144.84,139.7,96.39,96.42,95.21,105.44,128.82,128.64,132.27,134.06,131.29,140.51,143.96,149.03,159.02,137.42,127.3,126.28,123.22,105.94,113.12,113.17,113.89,114.18,119.01
3059 華晶科 (上市光電業),161.01,159.31,137.67,151.85,154.95,138.31,153.96,165.33,164.79,154.67,149.2,149.1,153.89,165.97,177.25,175.91,175.71,162.9,177.23,195.49,244.18,242.46,201.84,192.66,163.53,165.71,158.57,151.92,154.59,141.72,129.36,114.32,120.76,104.96,121.45,127.41,111.97,144.37,149.98,158.37
3149 正達 (上市光電業),120.81,97.14,107.23,103.89,95.87,72.63,67.31,55.7,86.64,81.76,63.73,63.7,58.61,64.03,67.6,77.87,71.39,74.76,78.98,76.69,65.1,70.5,88.22,88.01,84.3,81.56,109.71,101.37,126.85,120.75,113.58,101.04,93.73,115.21,111.81,117.36,92.36,90.34,90.06,93.62
3481 群創 (上市光電業),58.24,54.88,65.58,77.41,88.34,96.52,98.11,97.37,85.41,85.95,72.78,87.84,79.31,88.19,113.76,96.12,94.09,87.99,92.98,113.81,104.6,96.63,94.02,88.51,88.29,83.22,101.2,114.66,113.67,119.09,120.52,114.28,126.77,128.34,136.99,137.64,166.15,120.6,110.16,108.7
3504 揚明光 (上市光電業),154.54,133.69,144.91,157.87,166.16,169.88,176.76,176.61,163.38,142.26,138.89,146.81,135.06,133.34,154.52,152.97,144.53,130.67,122.31,125.68,127.08,118.5,107.06,112.66,103.94,116.1,133.54,149.01,137.61,114.64,107.55,147.95,141.21,128.79,140.09,148.34,144.06,139.35,133.95,136.24
4934 太極 (上市光電業),43.77,89.3,80.06,88.98,88.31,107,106.83,116.26,113.55,160.93,191.41,140.77,121.57,103.66,120.89,124.26,101.75,95.86,90.92,96.11,107.76,104.26,110.08,86.38,88.54,101.47,98.72,75.54,66.65,97.92,113.89,96.43,92.6,88.93,126.69,192.44,227.73,237.19,301.7,253.48
6164 華興 (上市光電業),199.63,165.77,172.66,192.21,192.58,172.67,206.48,227.11,204.91,228.64,241.1,215.59,201.95,176.73,189.06,181.89,150.11,145.64,144.15,147.61,155.46,154.37,148.6,144.9,144.73,149.54,162.52,157.65,158.51,148.44,145.74,140.44,133.95,143.12,152.03,192.07,187.33,165.85,210.36,209.5
6176 瑞儀 (上市光電業),188.57,187.53,202.25,204.56,219.02,179.34,135.84,171.61,155.28,146.78,148.68,149.57,160.83,154.21,150.21,154.71,168.18,149.26,149.99,154.78,166.63,163.19,186.57,192.44,200.27,168.58,162.95,173.62,179.28,164.87,171.72,169.18,177.2,172.88,184.59,209.54,241.96,199.38,221.31,243.89
